Rank,Zip Code,Population
851,12138,"3,218"
852,13080,"3,210"
853,14543,"3,203"
854,10974,"3,202"
855,11724,"3,175"
856,12531,"3,171"
857,11935,"3,160"
858,13411,"3,152"
859,13754,"3,147"
860 TIE,14807 and 13668,"3,138"
861 TIE,13656 and 12117,"3,133"
862,14081,"3,123"
863,14098,"3,102"
864,12072,"3,097"
865,10006,"3,092"
866,10588,"3,087"
867,11978,"3,086"
868,11718,"3,075"
869,13691,"3,074"
870,13167,"3,067"
871 TIE,12074 and 14062,"3,046"
872,14712,"3,044"
873,12015,"3,026"
874,11794,"3,024"
875,14561,"3,014"
876,14755,"3,011"
877,13478,"3,009"
878,14172,"3,002"
879,13461,"3,000"
880,14735,"2,981"
881,12788,"2,980"
882,12919,"2,974"
883,12075,"2,959"
884,12525,"2,956"
885,14170,"2,944"
886,12520,"2,932"
887,14517,"2,931"
888,14770,"2,926"
889,11548,"2,922"
890,13825,"2,914"
891,13060,"2,912"
892,12154,"2,901"
893,13667,"2,898"
894,12850,"2,887"
895,12546,"2,885"
896,13795,"2,878"
897,14865,"2,874"
898,12821,"2,869"
899,12966,"2,858"
900,12547,"2,855"
901,12056,"2,847"
902,12413,"2,813"
903,12514,"2,807"
904,11549,"2,803"
905,13164,"2,797"
906,10984,"2,789"
907,13332,"2,782"
908,12458,"2,778"
909,14435,"2,773"
910,14739,"2,740"
911,12921,"2,734"
912,14715,"2,733"
913,14034,"2,716"
914,13613,"2,708"
915,13730,"2,687"
916,13143,"2,681"
917,12167,"2,678"
918,14817,"2,658"
919,14853,"2,656"
920,12501,"2,645"
921,13783,"2,634"
922,12567,"2,633"
923,14840,"2,631"
924,13092,"2,626"
925,14716,"2,623"
926,12859,"2,617"
927,12484,"2,612"
928,13044,"2,595"
929,12183,"2,592"
930,13654,"2,578"
931,14873,"2,574"
932,13459,"2,557"
933,14775,"2,545"
934,13606,"2,512"
935,10973,"2,479"
936,13146,"2,462"
937,13685,"2,460"
938,14471,"2,458"
939,12835,"2,456"
940 TIE,12529 and 13363,"2,453"
941,10537,"2,441"
942,13409,"2,437"
943,14525,"2,424"
944,12149,"2,423"
945,11964,"2,413"
946,13622,"2,410"
947 TIE,14521 and 14724,"2,405"
948,10968,"2,400"
949 TIE,12094 and 14847,"2,398"
950,13076,"2,397"
951,14516,"2,392"
952 TIE,13812 and 13612,"2,386"
953,14604,"2,364"
954,12581,"2,358"
955,12979,"2,356"
956 TIE,13324 and 14813,"2,351"
957,14627,"2,348"
958,12981,"2,341"
959,13424,"2,338"
960,13040,"2,337"
961,14012,"2,334"
962,12106,"2,333"
963,10976,"2,332"
964,13658,"2,320"
965,13425,"2,318"
966,13101,"2,311"
967,12575,"2,308"
968,12926,"2,304"
969,12920,"2,285"
970,14809,"2,284"
971,13736,"2,283"
972,14782,"2,270"
973,12583,"2,269"
974,13620,"2,267"
975,14476,"2,250"
976,14747,"2,243"
977,12466,"2,241"
978,13042,"2,224"
979,14422,"2,221"
980,13797,"2,220"
981,12748,"2,215"
982,12918,"2,210"
983,12912,"2,209"
984 TIE,14533 and 12780,"2,206"
985,12207,"2,202"
986,14139,"2,193"
987,13416,"2,189"
988,12023,"2,187"
989,12910,"2,183"
990 TIE,"11977, 14560, and 14818","2,176"
991,14744,"2,175"
992,13626,"2,172"
993,10511,"2,166"
994,13673,"2,142"
995,14767,"2,138"
996,12578,"2,123"
997 TIE,13648 and 14806,"2,121"
998 TIE,12996 and 12155,"2,119"
999,13120,"2,109"
"1,000",12916,"2,108"
"1,001",14781,"2,089"
"1,002 TIE",13110 and 12789,"2,081"
"1,003",12776,"2,078"
"1,004",13495,"2,059"
"1,005",12759,"2,058"
"1,006",12783,"2,048"
"1,007",13697,"2,047"
"1,008",14718,"2,041"
"1,009",13327,"2,038"
"1,010",13320,"2,037"
"1,011 TIE",12747 and 12740,"2,035"
"1,012",12168,"2,033"
"1,013",13083,"2,029"
"1,014",13034,"2,021"
"1,015",14898,"2,018"
"1,016",13843,"2,015"
"1,017 TIE",13646 and 12937,"2,014"
"1,018",12185,"2,006"
"1,019",12173,"1,999"
"1,020",14879,"1,998"
"1,021",12440,"1,997"
"1,022",14058,"1,994"
"1,023",12928,"1,988"
"1,024",12121,"1,972"
"1,025",12737,"1,963"
"1,026",14826,"1,957"
"1,027 TIE",13746 and 14544,"1,954"
"1,028",14427,"1,943"
"1,029 TIE",12057 and 14814,"1,942"
"1,030",13063,"1,934"
"1,031",12779,"1,930"
"1,032",14040,"1,921"
"1,033",11509,"1,920"
"1,034",14171,"1,918"
"1,035",14838,"1,917"
"1,036",14101,"1,910"
"1,037",12817,"1,905"
"1,038",14741,"1,900"
"1,039",10986,"1,899"
"1,040",12463,"1,895"
"1,041",14726,"1,892"
"1,042",12958,"1,881"
"1,043",12197,"1,880"
"1,044",14138,"1,879"
"1,045",12977,"1,874"
"1,046",13156,"1,870"
"1,047",12192,"1,867"
"1,048",12193,"1,855"
"1,049",13679,"1,851"
"1,050",14145,"1,847"
"1,051",12775,"1,845"
"1,052",14504,"1,839"
"1,053",14005,"1,838"
"1,054",12853,"1,836"
"1,055",13775,"1,829"
"1,056",13302,"1,826"
"1,057",13734,"1,817"
"1,058",12870,"1,816"
"1,059",14711,"1,814"
"1,060",13160,"1,812"
"1,061",13431,"1,811"
"1,062",13493,"1,804"
"1,063",14030,"1,800"
"1,064 TIE",12729 and 11941,"1,797"
"1,065",13433,"1,791"
"1,066",14743,"1,784"
"1,067",12577,"1,783"
"1,068",13625,"1,778"
"1,069",14028,"1,776"
"1,070",13054,"1,775"
"1,071",13144,"1,774"
"1,072",10917,"1,766"
"1,073",12137,"1,764"
"1,074",10526,"1,763"
"1,075",14167,"1,761"
"1,076",11005,"1,759"
"1,077",12455,"1,755"
"1,078",13490,"1,753"
"1,079",12516,"1,747"
"1,080",14203,"1,733"
"1,081",12957,"1,723"
"1,082",13616,"1,722"
"1,083",12116,"1,712"
"1,084",13024,"1,709"
"1,085",13111,"1,706"
"1,086",14013,"1,703"
"1,087",13680,"1,702"
"1,088",14481,"1,699"
"1,089",13660,"1,697"
"1,090",12140,"1,690"
"1,091",12059,"1,682"
"1,092",11976,"1,679"
"1,093 TIE",13026 and 14033,"1,677"
"1,094",13343,"1,675"
"1,095",13112,"1,673"
"1,096",12070,"1,669"
"1,097",13402,"1,659"
"1,098",12461,"1,654"
"1,099 TIE",12764 and 12481,"1,650"
"1,100",14880,"1,640"
"1,101 TIE",14065 and 10922,"1,637"
"1,102",12523,"1,626"
"1,103",12723,"1,625"
"1,104 TIE",12066 and 12486,"1,623"
"1,105",13304,"1,617"
"1,106",13428,"1,615"
"1,107",12052,"1,611"
"1,108",13608,"1,607"
"1,109",14054,"1,593"
"1,110",14591,"1,592"
"1,111",13618,"1,590"
"1,112",14466,"1,576"
"1,113",13158,"1,569"
"1,114",13650,"1,567"
"1,115",14024,"1,552"
"1,116",12935,"1,551"
"1,117",13652,"1,548"
"1,118",12062,"1,546"
"1,119",12093,"1,545"
"1,120",13808,"1,544"
"1,121",13052,"1,541"
"1,122",14889,"1,539"
"1,123",12956,"1,538"
"1,124 TIE",12451 and 13809,"1,531"
"1,125",14129,"1,530"
"1,126",12974,"1,529"
"1,127",13328,"1,526"
"1,128",13661,"1,521"
"1,129",12067,"1,519"
"1,130",14478,"1,501"
"1,131",12504,"1,494"
"1,132",14550,"1,491"
"1,133",10162,"1,486"
"1,134",12125,"1,483"
"1,135",13315,"1,481"
"1,136",12491,"1,478"
"1,137",12472,"1,464"
"1,138",13145,"1,457"
"1,139",12496,"1,456"
"1,140",12959,"1,454"
"1,141 TIE","12086, 12515, and 12592","1,453"
"1,142",13630,"1,448"
"1,143",13318,"1,443"
"1,144",14804,"1,435"
"1,145",13801,"1,428"
"1,146",14008,"1,415"
"1,147",12060,"1,414"
"1,148 TIE",13348 and 14477,"1,411"
"1,149",12058,"1,394"
"1,150",14709,"1,389"
"1,151",12917,"1,378"
"1,152",13464,"1,373"
"1,153",13335,"1,370"
"1,154",12733,"1,367"
"1,155",13796,"1,362"
"1,156",14778,"1,354"
"1,157",14571,"1,350"
"1,158",12521,"1,349"
"1,159",13757,"1,338"
"1,160",14055,"1,331"
"1,161",12993,"1,330"
"1,162",12985,"1,328"
"1,163",13607,"1,322"
"1,164",12980,"1,321"
"1,165",14506,"1,317"
"1,166",12076,"1,308"
"1,167",12548,"1,306"
"1,168",12814,"1,284"
"1,169",12903,"1,283"
"1,170",14858,"1,281"
"1,171",14066,"1,260"
"1,172",14869,"1,259"
"1,173",12485,"1,256"
"1,174",14102,"1,255"
"1,175",14894,"1,246"
"1,176",13694,"1,244"
"1,177 TIE",10596 and 12941,"1,242"
"1,178",13122,"1,239"
"1,179",13028,"1,229"
"1,180",10546,"1,228"
"1,181",10964,"1,224"
"1,182",12726,"1,222"
"1,183",14614,"1,215"
"1,184",10501,"1,213"
"1,185 TIE",13810 and 13635,"1,210"
"1,186",14860,"1,204"
"1,187",14864,"1,197"
"1,188",14418,"1,176"
"1,189",13839,"1,171"
"1,190",13807,"1,163"
"1,191 TIE",12932 and 14507,"1,157"
"1,192",12029,"1,156"
"1,193",12751,"1,152"
"1,194 TIE",12489 and 14091,"1,149"
"1,195",12166,"1,148"
"1,196",12719,"1,145"
"1,197 TIE",12837 and 13744,"1,142"
"1,198",12502,"1,138"
"1,199",13835,"1,132"
"1,200",13469,"1,131"
"1,201",13755,"1,127"
"1,202 TIE",14861 and 14731,"1,125"
"1,203",14769,"1,124"
"1,204 TIE","14842, 12456, and 12565","1,123"
"1,205 TIE",11932 and 12431,"1,120"
"1,206",12430,"1,119"
"1,207",11569,"1,117"
"1,208",13338,"1,110"
"1,209 TIE",14723 and 12087,"1,109"
"1,210",14037,"1,107"
"1,211",14740,"1,105"
"1,212 TIE",13147 and 12913,"1,104"
"1,213 TIE",12046 and 13081,"1,102"
"1,214",11972,"1,096"
"1,215",12967,"1,094"
"1,216",10505,"1,089"
"1,217",13061,"1,087"
"1,218 TIE",14109 and 14753,"1,082"
"1,219",10518,"1,071"
"1,220",12457,"1,070"
"1,221",12997,"1,069"
"1,222 TIE","12815, 13303, 14805, and 13334","1,065"
"1,223",13368,"1,062"
"1,224",13325,"1,059"
"1,225 TIE",12156 and 13681,"1,053"
"1,226",12423,"1,050"
"1,227",12824,"1,036"
"1,228",12474,"1,035"
"1,229",13485,"1,029"
"1,230",14143,"1,013"
"1,231",12934,"1,007"
"1,232",13684,"1,006"
"1,233",12777,"1,005"
"1,234",14555,"1,004"
"1,235",11939,999
"1,236 TIE",12989 and 12468,998
"1,237",14728,995
"1,238",12153,993
"1,239",13477,991
"1,240",14859,984
"1,241",14784,972
"1,242",12160,962
"1,243",12785,953
"1,244",12765,951
"1,245",13071,949
"1,246 TIE",12746 and 10919,948
"1,247",12406,947
"1,248",13355,941
"1,249",14855,940
"1,250",10931,938
"1,251",13486,937
"1,252",12970,935
"1,253",13780,929
"1,254",12914,928
"1,255",10527,925
"1,256",13731,923
"1,257",13615,922
"1,258",13750,918
"1,259 TIE",12150 and 11739,916
"1,260",14822,913
"1,261 TIE",12151 and 13788,911
"1,262",14729,906
"1,263",14836,892
"1,264",12734,890
"1,265",11930,882
"1,266",13864,880
"1,267",12585,879
"1,268",13322,870
"1,269",12768,867
"1,270",13420,864
"1,271",12873,863
"1,272",12032,858
"1,273",12960,857
"1,274",10597,853
"1,275",12028,849
"1,276",12434,842
"1,277",14815,841
"1,278",12942,837
"1,279 TIE",11957 and 12863,835
"1,280",14820,826
"1,281",12190,821
"1,282 TIE",13072 and 13321,819
"1,283",14839,811
"1,284",13361,802
"1,285",10578,801
"1,286 TIE",14803 and 14588,800
"1,287",12842,797
"1,288",13752,794
"1,289 TIE",12464 and 14069,792
"1,290",13844,790
"1,291",11765,782
"1,292",13782,777
"1,293",13473,776
"1,294",14846,775
"1,295",14897,773
"1,296",11958,768
"1,297 TIE","12092, 13813, and 13739",752
"1,298",12930,748
"1,299",12136,732
"1,300",13682,731
"1,301",13665,728
"1,302",12473,726
"1,303 TIE",14885 and 12035,722
"1,304",13406,721
"1,305",12130,720
"1,306 TIE","13802, 14480, and 12124",711
"1,307",11948,710
"1,308",14841,707
"1,309 TIE",11960 and 12950,706
"1,310",12409,703
"1,311",13863,694
"1,312",14777,693
"1,313",12857,685
"1,314",12120,683
"1,315",11547,681
"1,316",12442,675
"1,317",12810,671
"1,318",12008,668
"1,319",13337,662
"1,320 TIE",13454 and 14825,661
"1,321",13672,660
"1,322",13841,659
"1,323",13489,658
"1,324",14872,657
"1,325",14878,644
"1,326",10988,636
"1,327 TIE",13690 and 12405,633
"1,328",14754,629
"1,329",12763,628
"1,330 TIE",12861 and 12778,627
"1,331 TIE",12419 and 12878,624
"1,332",14748,618
"1,333",13141,616
"1,334",12022,612
"1,335",14824,611
"1,336",14126,608
"1,337 TIE",12469 and 14808,607
"1,338",13842,606
"1,339",13157,603
"1,340",14720,601
"1,341",12427,600
"1,342",14714,597
"1,343",12604,591
"1,344",12480,588
"1,345",12884,585
"1,346",14819,584
"1,347",12836,582
"1,348",12433,579
"1,349 TIE","14082, 13832, and 14536",576
"1,350",12503,573
"1,351",12041,571
"1,352 TIE",12418 and 12444,567
"1,353",10933,563
"1,354",12923,562
"1,355",13319,561
"1,356",12838,555
"1,357",13310,553
"1,358",12843,547
"1,359",13776,546
"1,360 TIE",11959 and 12762,545
"1,361",14462,534
"1,362",14026,531
"1,363",12175,528
"1,364",14816,527
"1,365",12860,526
"1,366",12063,524
"1,367",12791,523
"1,368",12494,519
"1,369",13470,517
"1,370",12732,516
"1,371",13740,515
"1,372",12760,514
"1,373",12187,513
"1,374",12470,512
"1,375",14717,509
"1,376 TIE",11042 and 12045,506
"1,377",12517,501
"1,378",12965,498
"1,379",13155,497
"1,380",12945,492
"1,381",12147,487
"1,382 TIE",11947 and 13468,486
"1,383",14877,476
"1,384",12412,473
"1,385",13621,469
"1,386",13163,468
"1,387",10517,459
"1,388",14113,455
"1,389 TIE",12176 and 13123,451
"1,390",14486,449
"1,391 TIE",12952 and 13670,448
"1,392 TIE","12936, 13693, 14511, and 13659",439
"1,393",13313,425
"1,394",12085,424
"1,395 TIE",12969 and 12417,421
"1,396",12743,420
"1,397 TIE",13687 and 13483,418
"1,398",13136,417
"1,399",12460,416
"1,400",12448,413
"1,401",13153,408
"1,402",12017,403
"1,403",13678,400
"1,404",12851,394
"1,405 TIE",13435 and 12108,393
"1,406 TIE",14475 and 13312,391
"1,407 TIE",10535 and 12998,390
"1,408",12574,388
"1,409",12164,387
"1,410",13756,384
"1,411",13437,382
"1,412",11965,380
"1,413 TIE","14061, 12847, 12852, and 12174",375
"1,414",12410,370
"1,415",13846,369
"1,416",12454,366
"1,417",13786,365
"1,418",12766,364
"1,419",12943,358
"1,420",12786,354
"1,421 TIE",12411 and 12422,353
"1,422",12439,348
"1,423",13777,347
"1,424",12071,346
"1,425 TIE",13418 and 14752,345
"1,426 TIE",12416 and 12064,341
"1,427 TIE",12475 and 13614,339
"1,428",12955,334
"1,429",12769,332
"1,430",12978,328
"1,431 TIE",12750 and 14060,326
"1,432",13314,325
"1,433 TIE",12429 and 11962,324
"1,434",13804,323
"1,435 TIE",12787 and 13484,322
"1,436",14441,319
"1,437",14742,313
"1,438 TIE","13633, 13664, and 14884",306
"1,439",14783,305
"1,440",12738,304
"1,441",13640,301
"1,442",14856,300
"1,443 TIE","10914, 12132, and 12849",297
"1,444",12172,296
"1,445 TIE",12513 and 12036,295
"1,446",13113,294
"1,447",13410,291
"1,448 TIE",10519 and 13834,289
"1,449 TIE",13494 and 13117,287
"1,450 TIE","14173, 12471, and 12177",281
"1,451",12781,278
"1,452",12452,275
"1,453",13861,273
"1,454 TIE",12792 and 11975,272
"1,455",12752,270
"1,456 TIE",12808 and 12819,269
"1,457",12483,267
"1,458 TIE",12975 and 12961,264
"1,459",12724,255
"1,460 TIE",13638 and 12927,254
"1,461 TIE",12169 and 13639,252
"1,462 TIE","12844, 11956, 12435, and 12507",250
"1,463",12770,246
"1,464 TIE",12886 and 14722,244
"1,465",12420,242
"1,466",12424,239
"1,467",13636,237
"1,468",12421,236
"1,469",14874,235
"1,470",14708,230
"1,471",13806,229
"1,472 TIE",12823 and 12749,227
"1,473 TIE","12976, 12042, and 12432",225
"1,474",12939,223
"1,475 TIE",13628 and 12453,222
"1,476",13305,220
"1,477",12856,218
"1,478",13134,216
"1,479",13162,215
"1,480",12741,214
"1,481 TIE",12459 and 13103,213
"1,482 TIE",11970 and 13115,212
"1,483",12855,210
"1,484",13342,209
"1,485 TIE",11430 and 12465,206
"1,486 TIE",14736 and 12069,203
"1,487",10975,200
"1,488",12987,198
"1,489",12482,196
"1,490 TIE",14041 and 12031,195
"1,491",12161,191
"1,492",14545,188
"1,493",14827,186
"1,494",13441,184
"1,495 TIE",14415 and 13666,183
"1,496",12450,181
"1,497",13751,180
"1,498",13488,172
"1,499",14130,170
"1,500",13301,168
"1,501",13341,166
"1,502 TIE","12407, 13064, and 12841",165
"1,503 TIE",10985 and 10979,162
"1,504",12165,161
"1,505",14881,159
"1,506 TIE",12720 and 13695,158
"1,507",13051,157
"1,508 TIE",12194 and 12874,156
"1,509",13674,155
"1,510 TIE",13774 and 14732,154
"1,511",10503,153
"1,512",12512,151
"1,513 TIE",13362 and 14721,150
"1,514",13675,149
"1,515",12964,148
"1,516 TIE",14537 and 14135,147
"1,517 TIE",13859 and 12139,146
"1,518",12812,143
"1,519 TIE","12492, 12767, and 14302",140
"1,520 TIE",12040 and 14529,137
"1,521",13087,134
"1,522 TIE",13360 and 13331,133
"1,523",12495,131
"1,524 TIE",13784 and 13345,130
"1,525",14707,129
"1,526 TIE",12493 and 10545,128
"1,527",6390,125
"1,528",13404,124
"1,529",13845,123
"1,530",12725,119
"1,531",12858,116
"1,532 TIE",14169 and 14479,115
"1,533",12195,113
"1,534",14134,111
"1,535",10953,109
"1,536 TIE",14035 and 14112,105
"1,537",12973,104
"1,538 TIE",12742 and 10932,102
"1,539",12745,100
"1,540",13020,99
"1,541",13847,98
"1,542",12924,97
"1,543",13651,96
"1,544 TIE",13696 and 12436,94
"1,545 TIE",12811 and 12131,91
"1,546 TIE",14039 and 14539,90
"1,547",13364,89
"1,548 TIE","10915, 14585, and 12722",85
"1,549 TIE",13124 and 12441,83
"1,550",14549,76
"1,551",13436,74
"1,552",13415,73
"1,553",13472,68
"1,554",13794,67
"1,555 TIE",14592 and 12089,64
"1,556 TIE",12530 and 12115,61
"1,557",14542,60
"1,558",12933,59
"1,559 TIE",13138 and 11770,56
"1,560 TIE",14774 and 13647,55
"1,561",13641,48
"1,562",13102,47
"1,563",12736,46
"1,564 TIE",14788 and 12784,44
"1,565",13643,43
"1,566",10279,42
"1,567",13062,41
"1,568 TIE",11973 and 12872,40
"1,569 TIE",13677 and 11931,39
"1,570",13450,35
"1,571",13333,34
"1,572",12922,33
"1,573",12438,31
"1,574 TIE",13692 and 14168,30
"1,575",14756,28
"1,576 TIE",12490 and 13860,27
"1,577",12864,22
"1,578",13623,18
"1,579",13475,16
"1,580",13826,15
"1,581",13353,13
"1,582",14854,12
"1,583",13352,11
"1,584",12007,9
